"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Barbados","BRB","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","60","58","62","69","83","83","79","79","76","78","91","82","90","86","90","93","85","96","93","87","93","84","87","89","93","92","84","93","85","93","86","91","87","91","94","97","97","90","95","90","85","82",
"Brunei Darussalam","BRN","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","89","94","99","85","96","88","86","85","89","91","93","95","96","99","99","99","99","99","97","92","99","97","94","92","92","94","97","99","98","99","95","97","95","99","99","99","99","99","99","99","99","99",
"Bhután","BTN","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","6","13","15","16","28","41","53","63","70","76","96","91","86","79","86","87","87","87","86","90","92","88","86","95","89","95","95","95","96","93","91","95","97","97","99","99","98","98","97","97","95","98",
"Botswana","BWA","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","71","75","82","82","83","84","86","88","88","92","92","93","94","94","94","95","96","96","98","97","97","97","97","96","96","96","96","96","96","96","95","95","95","95","95","95","95","95","95","95","95","95",
"República Centroafricana","CAF","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","13","11","14","16","17","20","19","22","42","64","82","64","45","47","48","53","48","43","43","33","37","40","44","47","51","54","51","48","45","42","45","47","47","23","45","43","42","42","42","42","42","42",
"Canadá","CAN","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","86","87","88","88","89","90","93","87","90","86","90","90","89","89","88","91","91","93","95","94","92","91","89","87","91","91","91","91","91","91","91","91","92","92",
"Europa Central y del Báltico","CEB","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","68.8478072083135","69.4032525187641","69.0333054772704","69.8820267888201","71.1718045327284","95.2211416196732","94.1798304646981","95.483550528184","96.6038837294262","96.6188158064495","96.6184456997303","96.716223752098","93.2600766193998","88.4479205933603","95.792680348477","96.2896701493214","96.7229876521105","96.8231237915196","97.0356258970374","97.1685154257363","97.4666876111592","97.647971767341","97.7991171008463","97.6792308967181","97.7827331085576","97.7966779168616","97.789175641139","97.6817621730818","97.7269534842671","97.523096383627","97.2518412395667","96.2408291195492","96.6338838537665","96.6796903399975","95.9753823404908","95.1506401009074","95.1241538712322","92.9508300551126","93.4175141420476","94.0587939189269","91.8858278482623","90.8753884010905",
"Suiza","CHE","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","90","90","89","89","89","89","89","89","89","88","93","93","93","93","93","93","94","94","94","95","95","95","96","96","96","96","96","96","96","96","96","96","96",
"Islas del Canal","CHI","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Inmunización con vacuna DPT (% de niños entre 12 y 23 meses de edad)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","93","99","99","89","99","99","90","93","96","95","95","94","90","90","94","94","91","90","90","95","91","97","97","96","93","91","94","96","95","94","92","94","90","91","95","96","95","93","95","96","93","95",
